accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2016-04-12,21:09:09,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-04-11,00:17:17,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-09,08:51:51,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-02-10,10:40:40,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-05,01:13:13,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2015-11-30,09:10:10,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-09-24,08:24:24,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-24,17:27:27,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-07-19,12:01:01,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-26,16:42:42,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-11-23,05:12:12,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-07-24,04:59:59,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-11-02,10:14:14,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-14,09:22:22,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-05-09,19:49:49,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-04-20,18:58:58,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-02-11,10:08:08,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-16,18:36:36,ศรีรัช,ปกติ,0,2,0,0,ขับรถเร็วเกินไป
2016-01-02,07:07:07,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-09-18,23:43:43,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2016-05-15,22:20:20,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-04,21:32:32,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-08-06,01:53:53,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-17,01:32:32,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-29,17:00:00,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-05-27,09:22:22,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-08-06,02:38:38,ศรีรัช,ปกติ,0,2,0,0,ขับรถเร็วเกินไป
2016-01-23,00:27:27,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-17,15:29:29,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-08-07,15:07:07,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-01-23,03:09:09,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2015-11-30,08:29:29,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-08-18,11:32:32,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-04-21,10:00:00,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
